Province,Province Name En,Province Name Ne,District Id,District Code,District Name En,District Name Ne,GAPA Id,GAPA Code,GaPa Name En,GaPa Name Ne,Total Wards
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,9,20209,Arnama Gaunpalika,अर्नमा गाउँपालिका,5
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,10,20210,Sukhipur Municipality,सुखीपुर नगरपालिका,10
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,11,20211,Laxmipur Patari Gaunpalika,लक्ष्मीपुर पतारी गाउँपालिका,6
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,12,20212,Sakhuwa Nankarkatti Gaunpalika,सखुवानान्कारकट्टी गाउँपालिका,5
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,13,20213,Bhagawanpur Gaunpalika,भगवानपुर गाउँपालिका,5
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,14,20214,Nawarajpur Gaunpalika,नवराजपुर गाउँपालिका,5
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,15,20215,Bariyarpatti Gaunpalika,बरियारपट्टी गाउँपालिका,5
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,16,20216,Aurahi Gaunpalika,औरही गाउँपालिका,5
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,17,20217,Siraha Municipality,सिराहा नगरपालिका,22
2,Province No. 2,प्रदेश २,17,203,Dhanusa,धनुषा,1,20301,Ganeshman Charnath Municipality,गणेशमान चारनाथ नगरपालिका,11
2,Province No. 2,प्रदेश २,17,203,Dhanusa,धनुषा,2,20302,Dhanushadham Municipality,धनुषाधाम नगरपालिका,9
2,Province No. 2,प्रदेश २,17,203,Dhanusa,धनुषा,3,20303,Mithila Municipality,मिथिला नगरपालिका,11
2,Province No. 2,प्रदेश २,17,203,Dhanusa,धनुषा,4,20304,Bateshwor Gaunpalika,बटेश्वर गाउँपालिका,5
2,Province No. 2,प्रदेश २,17,203,Dhanusa,धनुषा,5,20305,Chhireshwornath Municipality,क्षिरेश्वरनाथ नगरपालिका,10
2,Province No. 2,प्रदेश २,17,203,Dhanusa,धनुषा,6,20306,Laxminiya Gaunpalika,लक्ष्मीनिया गाउँपालिका,7
2,Province No. 2,प्रदेश २,17,203,Dhanusa,धनुषा,7,20307,Mithila Bihari Municipality,मिथिला बिहारी नगरपालिका,10
2,Province No. 2,प्रदेश २,17,203,Dhanusa,धनुषा,8,20308,Hansapur Municipality,हंसपुर नगरपालिका,9
2,Province No. 2,प्रदेश २,17,203,Dhanusa,धनुषा,9,20309,Sabaila Municipality,सबैला नगरपालिका,13
